0 ||| # || Title || Publication Date || Report Type || Availability || Description || Cover Page
1 ||| 1 || Echoes of Violence: Documenting International Human Rights Crimes in Ethiopia, an Executive Summary of Ten Incidents || January 2025 || Executive Summary of Investigative Reports || Free || Through an in-depth, case-based investigation, OJAH examined 10 purposively selected incidents illustrating different patterns of alleged international human rights and humanitarian law violations arising from the conflicts in northern Ethiopia. The investigation combined survivor and witness interviews, field-based documentation, OJAH’s existing evidence archive, satellite imagery, and other open-source intelligence, with evidence triangulated to establish key facts such as location, timing, victim profiles, and circumstances of each incident. Investigators received specialized training in international human rights law, advanced interviewing, and evidence documentation, while legal experts assessed the findings against relevant international legal frameworks. Rigorous chain-of-custody, informed-consent, anonymization, encryption, and restricted-access procedures were applied to protect survivors and preserve evidentiary integrity. The study generated detailed case-based evidence intended to support further investigation, legal accountability, advocacy, and broader efforts to address impunity and prevent future atrocities in Ethiopia. || [IMG:rId4]
2 ||| 2 || Documenting Atrocities and Gross Violations of Human Rights in Ethiopia: The Case of Mariam Shewito || January 2025 || Investigative Report || On request || Description not available || [IMG:rId5]
3 ||| 3 || Documenting Atrocities and Gross Violations of Human Rights in Ethiopia: The Case of Mahbere-Dego || January 2025 || Investigative Report || On request || Description not available || [IMG:rId6]
4 ||| 4 || Documenting Atrocities and Gross Violations of Human Rights in Ethiopia: The Case of Mekelle Kinder Garden || January 2025 || Investigative Report || On request || Description not available || [IMG:rId7]
5 ||| 5 || Documenting Atrocities and Gross Violations of Human Rights in Ethiopia: The Case of Maryam Dengelat || January 2025 || Investigative Report || On request || Description not available || [IMG:rId8]
6 ||| 6 || Documenting Atrocities and Gross Violations of Human Rights in Ethiopia: The Case of Togoga Air Strike || January 2025 || Investigative Report || On request || Description not available || [IMG:rId9]
7 ||| 7 || Documenting Atrocities and Gross Violations of Human Rights in Ethiopia: The Case of Adi-Gedena || January 2025 || Investigative Report || On request || Description not available || [IMG:rId10]
8 ||| 8 || Documenting Atrocities and Gross Violations of Human Rights in Ethiopia: The Case of Case of Dedebit Drone Strike || January 2025 || Investigative Report || On request || Description not available || [IMG:rId11]
9 ||| 9 || Documenting Atrocities and Gross Violations of Human Rights in Ethiopia: The Case of Bora and Vicinities || January 2025 || Investigative Report || On request || Description not available || [IMG:rId12]
10 ||| 10 || Documenting Atrocities and Gross Violations of Human Rights in Ethiopia: The Case of Mierab-Abaya Prison Camp || January 2025 || Investigative Report || On request || Description not available || [IMG:rId13]
11 ||| 11 || Documenting Atrocities and Gross Violations of Human Rights in Ethiopia: The Case of Edaga-Berhe || January 2025 || Investigative Report || On request || This OJAH report documents mass atrocities and gross human rights violations in Edaga Berhe and nearby Tigray villages from February 3–5, 2021. It draws on survivor and witness interviews, documentary evidence, open-source intelligence, and field investigations. The report finds that at least 75 male civilians, mainly farmers and students, were deliberately executed by ENDF units, with evidence linking senior officers to the massacres. It frames the violations as war crimes, crimes against humanity, and potential genocide, underscoring the need for independent accountability and survivor-centered documentation. || [IMG:rId14]
12 ||| 12 || Atrocities in Ethiopia: Documenting Mass Killings, Mass Detentions, and Drone Warfare Against Civilians in Tigray || July 2025 || Investigative Report || On request || Focusing on emblematic episodes from the Tigray conflict, OJAH investigated alleged mass atrocities committed against civilians between November 2020 and November 2022. The study examined incidents involving mass killings, mass detention, forced displacement and population transfer, conflict-related sexual violence, and the use of drone warfare, including the Abala and Goda Bottle and Glass Factory killings and a broader pattern of reported drone attacks affecting civilian populations. Drawing on survivor and witness testimony, field documentation, open-source intelligence, satellite imagery, and other corroborating evidence, OJAH sought to reconstruct individual incidents and identify broader patterns of harm and potential violations of international law. The investigation documented evidence potentially relevant to war crimes and crimes against humanity and highlighted major outstanding evidentiary needs, including access to suspected mass-grave sites and additional forensic investigation. The study was designed to preserve evidence, support survivors, inform independent investigations, and strengthen national and international justice and accountability efforts. || [IMG:rId15]
13 ||| 13 || Human Rights Violations in Tigray Region, Ethiopia Investigative Report || February 2025 || Investigative Report || On request || This comprehensive investigative report examines alleged grave human rights and international humanitarian law violations committed against civilians in Tigray, primarily between November 2020 and the November 2022 peace agreement. The investigation examined incidents across locations including Abala, Goda, Samre, Seharti, Korem, May-Tsebri, and Mekelle, using field investigations, survivor and witness testimonies, visual and documentary evidence, and systematic source triangulation. The study documented patterns of mass and extrajudicial killings, forced displacement and arbitrary detention, widespread destruction of civilian property and infrastructure, conflict-related sexual and gender-based violence, and drone strikes resulting in civilian casualties. OJAH also analyzed the evidence against relevant international legal standards, identifying potential war crimes, crimes against humanity, and, in some incidents, indicators warranting further investigation of possible genocidal intent. The report was designed to preserve evidence, clarify patterns of perpetration and responsibility, support survivor-centered justice, and inform independent investigations and national and international accountability efforts. || [IMG:rId16]
14 ||| 14 || Leap of Insight: Confronting Impunity in Ethiopia || December 2025 || Monitoring Report || On request || As the first phase of a broader human rights monitoring initiative, Leap of Insight examined conflict-related violations in Ethiopia’s Amhara and Tigray regions between January and June 2025, with technical and financial support from the Open Society Foundations (OSF). The study used a combination of human intelligence, open-source documentation, and systematic media monitoring, supported by a multi-layered verification process, to identify and analyze patterns of alleged human rights abuses in high-risk areas. The monitoring documented persistent violations, including extrajudicial killings, airstrikes affecting civilians, arbitrary detention, sexual violence, and repression of human rights defenders, with women, children, older people, and other vulnerable groups disproportionately affected. The study also assessed these violations within the broader context of Ethiopia’s justice, reconciliation, and transitional justice initiatives, highlighting continuing accountability gaps and the persistence of impunity. The pilot demonstrated the value of real-time, independently verified monitoring in generating evidence for advocacy, victim-centered accountability efforts, and engagement with national and international human rights mechanisms. || 
15 ||| 15 || Tracking Atrocities: Ongoing Human Rights Violations Amid Conflict in Ethiopia || October 2025 || Monitoring Report || On request || Building on the Leap of Insight pilot, OJAH expanded its continuous human rights monitoring from Amhara and Tigray to four high-risk regions, Amhara, Oromia, Tigray, and Afar, during July to September 2025. Using trained local documenters, human intelligence, open-source documentation, and systematic media monitoring, all subjected to a rigorous multi-layered verification process, OJAH documented 39 new incidents of alleged human rights violations during the three-month period. The monitoring identified unlawful killings as the most frequently recorded violation and found that civilians were affected in the large majority of documented incidents. The study also strengthened its methodology by revising data-collection tools and integrating international-crime indicators, while applying a strict “do no harm” approach to protect survivors, witnesses, and sources. The initiative provides timely, independently verified evidence on evolving patterns of violations and their geographic spread, supporting advocacy, further investigation, accountability efforts, and engagement with national and international human rights mechanisms. || 
16 ||| 16 || Civilian Vulnerability and Systemic Human Rights Violations: Human Rights Monitoring Report in Six High Risk Regions in Ethiopia || March 2026 || Monitoring Report || On request || During the first quarter of 2026, OJAH broadened its human rights monitoring system to six high-risk regions of Ethiopia: Amhara, Oromia, Tigray, Somali, Afar, and Gambella. Through its established monitoring and verification system, OJAH documented 102 unique, verified incidents, providing evidence of persistent and geographically widespread threats to civilian protection. The analysis identified frequent use of lethal force, including artillery and drone strikes, as well as alleged failures by security actors to respond to early warnings, restrictions on humanitarian assistance, and attacks affecting farmers, laborers, health workers, educators, and other community members. The monitoring also documented the consequences of humanitarian access constraints for internally displaced populations. By generating a systematically verified evidentiary record across multiple conflict-affected settings, the study supports ongoing advocacy, further investigation, civilian-protection efforts, and national and international accountability processes. || 
17 ||| 17 || Tracking Atrocities: The Hardening Phase from Tactical Procrastination to a Culture of Lethality || January 2026 || Monitoring Report || On request || The October–December 2025 monitoring cycle represented a further strengthening of OJAH’s continuous documentation of human rights violations across Amhara, Oromia, Tigray, and Afar. Building on earlier monitoring phases, the study documented and verified 39 new incidents using a strengthened three-tier verification protocol combining survivor and witness accounts, digital and open-source forensic analysis, and legal review against international crime indicators. The findings showed a marked increase in lethal violence and continued harm to civilians, including attacks affecting health workers, teachers, administrators, and other individuals who play critical roles in sustaining community institutions and resilience. The monitoring also documented alleged abuses by both state and non-state armed actors, as well as cases in which security forces were reportedly present but failed to intervene. Supported by rigorous chain-of-custody, information-security, informed-consent, and “do no harm” procedures, the study generated systematically verified evidence intended to support further investigation, legal accountability, civilian-protection advocacy, and engagement with international human rights and justice mechanisms. || 
18 ||| 19 || Stolen, Broken, Destroyed How Impunity Has Fueled Ongoing Attacks on Health Care in Ethiopia || August 2026 || CRSV || Free || In collaboration with Physicians for Human Rights (PHR), OJAH undertook a mixed-methods investigation into attacks on health care and the broader effects of armed conflict on Ethiopia’s health system between July and October 2024 across Tigray, Amhara, Afar, and Oromia. The study combined 602 structured surveys of health care workers with 40 key informant interviews and four focus group discussions, enabling triangulation of the scale and patterns of attacks with the lived experiences of health professionals. Findings documented widespread attacks on ambulances and health facilities, looting and destruction of medical supplies and infrastructure, armed occupation of facilities, and direct threats and violence against health workers, alongside significant psychological, economic, and service-delivery consequences. OJAH subsequently complemented the study through continuous incident monitoring using its network of local human rights documenters and open-source investigations. The research generated evidence on the systematic vulnerability of health care during conflict and was designed to support protection of health workers and facilities, independent investigation, health-system recovery, and national and international justice and accountability efforts. || [IMG:rId17]
19 ||| 20 || You Will Never Be Able to Give Birth || July 2025 || CRSV || Free || A multidisciplinary collaboration between OJAH and Physicians for Human Rights (PHR) examined conflict-related sexual and reproductive violence and associated attacks on health care in Ethiopia between November 2020 and October 2024. The study assessed patterns of violations initially documented in Tigray and their continuation and spread to the Amhara and Afar regions, with particular attention to the consequences of limited justice and accountability. Evidence was triangulated from surveys of more than 600 health care workers who had supported survivors, a review of over 500 medical records, 40 key informant interviews, and four focus group discussions with health workers, humanitarian actors, and community leaders. The findings documented widespread and systematic sexual and reproductive violence, its severe and enduring impacts on survivors and communities, and continuing barriers to accountability, generating evidence to support further investigation, survivor-centered responses, advocacy, and national and international justice and accountability processes. || [IMG:rId18]
20 ||| 21 || Broken Promises: Conflict-Related Sexual Violence Before and After the Cessation of Hostilities Agreement in Tigray, Ethiopia || Augst 2023 || CRSV || Free || Drawing on medical records from multiple health facilities in Tigray, OJAH and Physicians for Human Rights (PHR) investigated the patterns, characteristics, and health consequences of conflict-related sexual violence occurring between November 2020 and June 2023. A multidisciplinary medical and public health research team reviewed 305 randomly selected medical records, documenting survivors ranging from eight to 69 years of age. The study found widespread and severe sexual violence, frequently involving multiple perpetrators, weapons, captivity, and other forms of physical violence, with survivors predominantly identifying military or paramilitary actors as perpetrators. The analysis also documented substantial physical, reproductive, and mental health consequences, including injuries, unintended pregnancies, HIV infection, depression, and post-traumatic stress, alongside considerable delays in accessing care. Importantly, the study found that conflict-related sexual violence continued after the November 2022 Cessation of Hostilities Agreement, underscoring persistent protection, survivor-support, investigation, and accountability needs. || [IMG:rId19]
21 ||| 24 || ዝተዓፀፈ ቃል፡- ምስ ኲናት ዝተተሓሓዘ ፆታዊ ዓመፅ ቅድምን ድሕርን “ስምምዕ ምቁራፅ ጎንፂ” ኣብ ትግራይ ኢትዮጵያ || Augst 2023 || CRSV || free ||  || 
22 ||| 25 || የተሰበሩ ቃልኪዳኖች፦ በግጭት ወቅት የተከሰቱ ጾታዊ እና ወሲባዊ ጥቃቶች ከ”ተኩስ አቁም  ሰምምነት” በፊት እና በኋላ በኢትየጵያ ትግራይ ክልል ዉስጥ || Augst 2023 || CRSV || free ||  || 
23 ||| 26 ||  ||  ||  || free ||  || 
24 ||| 27 ||  ||  ||  || free ||  || 
